date,open,high,low,close,adj_close,volume,dividends,splits,source
2003-08-11,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-13,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-14,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-18,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-20,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-21,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-25,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-27,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-28,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-08-29,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-01,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-03,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-04,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-08,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-10,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-11,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-17,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-18,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-23,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-24,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-25,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-29,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-09-30,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-01,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-03,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-06,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-07,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-08,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-10,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-13,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-14,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-17,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-20,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-21,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-23,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-24,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-27,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-28,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-29,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-30,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-10-31,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-03,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-04,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-06,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-07,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-10,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-11,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-13,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-14,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-17,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-18,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-20,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-21,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-24,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-25,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-27,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-11-28,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-01,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-03,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-04,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-08,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-10,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-11,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-17,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-18,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-23,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-24,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-25,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-29,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-30,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2003-12-31,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-01,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-06,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-07,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-08,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-13,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-14,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-20,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-21,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-23,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-27,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-28,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-29,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-01-30,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-03,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-04,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-06,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-10,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-11,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-13,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-17,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-18,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-20,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-23,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-24,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-25,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-02-27,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-01,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-03,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-04,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-08,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-10,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-11,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-17,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-18,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-23,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-24,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-25,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-29,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-30,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-03-31,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-01,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-06,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-07,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-08,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-13,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-14,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-20,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-21,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-23,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-27,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-28,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-29,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-04-30,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-03,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-04,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-06,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-07,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-10,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-11,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-13,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-14,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-17,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-18,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-20,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-21,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-24,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-25,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-26,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-27,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-28,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-05-31,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-01,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-03,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-04,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-07,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-08,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-10,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-11,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-14,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-17,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-18,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-21,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-23,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-24,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-25,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-28,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-29,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-06-30,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-01,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-02,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-05,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-06,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-07,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-08,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-09,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-12,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-13,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-14,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-15,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-16,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-19,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-20,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-21,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
2004-07-22,1200.0,1200.0,1200.0,1200.0,928.7059326171875,0,0.0,0.0,yfinance_raw_daily
